Gemüsesuppe (Gl,So,Sl,Ge)Putenbruststreifen in Kokosmilch mit grünem Curry, Champignons und Frühlingszwiebeln (So,G) oder Reis mit buntem Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Vanille (La)	378	5.0
Schwäbische Spätzle (Gl,Ei,We) verfeinert mit Spinat und Feta (La) und Sahnesauce (Gl,La,Sl,Ge)	263	3.1
Gemüseeintopf mit Hülsenfrüchten und roten Linsen (Se)	112	1.1
Bohnen-Zucchini-Chili mit Vollkornreis (Gl,We) getoppt mit Cevapcici auf Weizenbasis mit Beilagensalat zur Wahl mit French Dressing (Sf)	378	4.7
eine große Portion Pommes Frites inkl. 1 Portion Ketchup (Sl) oder Mayonaise (3,Ei,Sf)	188	2.9
Veganer Eintopf mit Quinoa und Kokosmilch (2,Gl,We)	112	1.0
Asiatische Reispfanne mit Gemüse, Pilzen und Sojakeimlingen (So)	282	4.3
Hausgemachter Weißer Bohneneintopf (2,Sl)	223	1.0
"Falafel-Dürüm", Falafel im Wrap mit frischem Salat (Gl,We) dazu Knoblauchsauce (La) oder Joghurtsauce (La)	350	1.2
Mainzer Bratwurst (3,S) oder Jackfruit Bratwurst mit Kartoffel-Gurken-Radieschen-Salat (2,So,Sf)	356	3.3
oder marinierter Soja mit Chili und Minze (So)	85	2.7
Spiralli (Gl,We) mit Gorgonzola Walnuss-Sauce (Gl,La,Nu,Sl,Ge,Wa)	233	5.0
Paniertes Schnitzel XXL (Gl,S,We)	375	1.7
Karotten-Ingwersuppe (So)Bohnen-Zucchini-Chili mit Vollkornreis (Gl,We) getoppt mit mini Frikadelle (Gl,Ei,G,We) mit Beilagensalat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)Fruchtjoghurt Pfirsich (La)Dessert	378	3.6
Bohnen-Zucchini-Chili mit Vollkornreis (Gl,We) getoppt mit mini Frikadelle (Gl,Ei,G,We) mit Beilagensalat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)	378	3.4
dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La) Weißkrautsalat	72	1.2
Sojafricassee (Sojawürfel mit Champignons, Erbsen und Spargel in cremiger Sauce) (5,Gl,So,Sl,Sw,Ge) mit Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf)	378	3.9
gebratene Gemüselaibchen (Gl,We) dazu Paprika-Radieschen-Dip (So) und Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf)	378	2.8
Erbsen und Möhren	72	2.4
Hühnerfricassee (gekochtes Hühnchen mit Champignons, Erbsen und Spargel in cremiger Sauce) (5,Gl,So,Sl,Sw,G,Ge) mit Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)	378	5.0
Mohnnudeln (Gl,Ei,We) mit Dessertsauce "Vanillegeschmack" (La)	260	3.4
gegrilltes Schweinesteak (S) mit Schmorzwiebeln und Baguettebrötchen (Gl,We,Ro)	339	2.0
Spiralli (Gl,We) mit Gorgonzola Walnuss-Sauce (Gl,La,Nu,Sl,Ge,Wa)	233	2.9
Blumenkohlcremesuppe (So)	72	2.7
